;No;Top Label;Label Num;Label;Loss;Time;bird;frog;prediction;confuse_bird_bird;confuse_bird_frog;confuse_frog_bird;confuse_frog_frog
32;120032;others;1;frog;2.2172927856445312e-05;11-02-2020 10:21:42;5.158678;-4.879176;bird;0;0;1;0
33;120033;others;0;bird;2.2172927856445312e-05;11-02-2020 10:21:42;5.158678;-4.879176;bird;1;0;0;0
34;120034;others;1;frog;0.0013794898986816404;11-02-2020 10:21:42;-5.7910075;6.1077986;frog;0;0;0;1
35;120035;others;1;frog;0.0013794898986816404;11-02-2020 10:21:42;-5.7910075;6.1077986;frog;0;0;0;1
36;120036;others;1;frog;0.0013794898986816404;11-02-2020 10:21:42;-5.7910075;6.1077986;frog;0;0;0;1
37;120037;others;1;frog;0.0012950897216796875;11-02-2020 10:21:42;3.07383;-2.8808506;bird;0;0;1;0
38;120038;others;0;bird;0.0012950897216796875;11-02-2020 10:21:42;3.07383;-2.8808506;bird;1;0;0;0
39;120039;others;1;frog;1.9073486328125e-06;11-02-2020 10:21:42;-6.372013;6.8418946;frog;0;0;0;1
40;120040;others;0;bird;1.6689300537109375e-06;11-02-2020 10:21:42;6.388091999999999;-6.268513700000001;bird;1;0;0;0
41;120041;others;0;bird;1.6689300537109375e-06;11-02-2020 10:21:42;6.388091999999999;-6.268513700000001;bird;1;0;0;0
42;120042;others;0;bird;6.747245788574219e-05;11-02-2020 10:21:42;4.62004;-4.3415775000000005;bird;1;0;0;0
43;120043;others;0;bird;6.747245788574219e-05;11-02-2020 10:21:42;4.62004;-4.3415775000000005;bird;1;0;0;0
44;120044;others;1;frog;0.0;11-02-2020 10:21:42;-7.9907284;8.380925;frog;0;0;0;1
45;120045;others;0;bird;0.0007212162017822267;11-02-2020 10:21:42;3.7883468000000002;-3.4457459999999998;bird;1;0;0;0
46;120046;others;0;bird;1.52587890625e-05;11-02-2020 10:21:42;5.67692;-5.399147;bird;1;0;0;0
47;120047;others;1;frog;1.9073486328125e-06;11-02-2020 10:21:42;-6.375423400000001;6.706447;frog;0;0;0;1
48;120048;others;0;bird;0.0;11-02-2020 10:21:42;11.493185;-11.41039;bird;1;0;0;0
49;120049;others;1;frog;0.0;11-02-2020 10:21:42;-8.217097;8.549596000000001;frog;0;0;0;1
50;120050;others;1;frog;0.0006607770919799805;11-02-2020 10:21:42;3.4723290999999996;-3.155898;bird;0;0;1;0
51;120051;others;0;bird;0.0006607770919799805;11-02-2020 10:21:42;3.4723290999999996;-3.155898;bird;1;0;0;0
52;120052;others;1;frog;0.0;11-02-2020 10:21:42;-8.38817;8.747542999999999;frog;0;0;0;1
53;120053;others;1;frog;0.00011181831359863279;11-02-2020 10:21:42;6.559514999999999;-6.657217;bird;0;0;1;0
54;120054;others;0;bird;0.00011181831359863279;11-02-2020 10:21:42;6.559514999999999;-6.657217;bird;1;0;0;0
55;120055;others;1;frog;0.0;11-02-2020 10:21:42;-13.456398000000002;13.334904000000002;frog;0;0;0;1
56;120056;others;0;bird;0.0;11-02-2020 10:21:42;13.399123999999999;-13.316538000000001;bird;1;0;0;0
57;120057;others;1;frog;0.0007989406585693358;11-02-2020 10:21:42;-3.4989612;3.6329467000000006;frog;0;0;0;1
58;120058;others;0;bird;0.0;11-02-2020 10:21:43;8.660891000000001;-8.593446;bird;1;0;0;0
59;120059;others;1;frog;0.0;11-02-2020 10:21:43;-9.567552000000001;9.946727000000001;frog;0;0;0;1
60;120060;others;1;frog;0.0;11-02-2020 10:21:43;-9.567552000000001;9.946727000000001;frog;0;0;0;1
61;120061;others;1;frog;9.059906005859377e-06;11-02-2020 10:21:43;-5.438356400000001;5.4785757;frog;0;0;0;1
62;120062;others;1;frog;9.059906005859377e-06;11-02-2020 10:21:43;-5.438356400000001;5.4785757;frog;0;0;0;1
63;120063;others;0;bird;0.0;11-02-2020 10:21:43;7.6818643;-7.5483199999999995;bird;1;0;0;0
64;120064;others;1;frog;0.0;11-02-2020 10:21:43;-11.312275;11.537841;frog;0;0;0;1
65;120065;others;1;frog;0.0014564990997314453;11-02-2020 10:21:43;-3.2644362;3.2666682999999996;frog;0;0;0;1
66;120066;others;0;bird;7.152557373046875e-07;11-02-2020 10:21:43;6.7939940000000005;-6.678023;bird;1;0;0;0
67;120067;others;0;bird;7.152557373046875e-07;11-02-2020 10:21:43;6.7939940000000005;-6.678023;bird;1;0;0;0
68;120068;others;1;frog;3.337860107421875e-06;11-02-2020 10:21:43;-6.312844999999999;6.2897997000000005;frog;0;0;0;1
69;120069;others;0;bird;0.00015974044799804688;11-02-2020 10:21:43;4.351354;-4.3892809999999995;bird;1;0;0;0
70;120070;others;1;frog;2.86102294921875e-06;11-02-2020 10:21:43;-10.103928;10.136237;frog;0;0;0;1
71;120071;others;1;frog;2.86102294921875e-06;11-02-2020 10:21:43;-10.103928;10.136237;frog;0;0;0;1
72;120072;others;0;bird;0.0;11-02-2020 10:21:43;7.6984825;-7.3886975999999995;bird;1;0;0;0
73;120073;others;0;bird;0.0010349750518798828;11-02-2020 10:21:43;-7.099410000000001;7.3627963;frog;0;1;0;0
74;120074;others;1;frog;0.0010349750518798828;11-02-2020 10:21:43;-7.099410000000001;7.3627963;frog;0;0;0;1
75;120075;others;0;bird;9.5367431640625e-06;11-02-2020 10:21:43;5.7124324;-5.833723;bird;1;0;0;0
76;120076;others;0;bird;0.0;11-02-2020 10:21:43;13.032977;-13.090864999999999;bird;1;0;0;0
77;120077;others;0;bird;0.0;11-02-2020 10:21:43;10.310238;-10.105795;bird;1;0;0;0
78;120078;others;1;frog;0.0;11-02-2020 10:21:43;-14.358759;14.694075;frog;0;0;0;1
79;120079;others;0;bird;1.1920928955078123e-06;11-02-2020 10:21:43;-6.3566704000000005;6.6569366;frog;0;1;0;0
80;120080;others;1;frog;1.1920928955078123e-06;11-02-2020 10:21:43;-6.3566704000000005;6.6569366;frog;0;0;0;1
81;120081;others;0;bird;1.5735626220703125e-05;11-02-2020 10:21:43;5.6812153;-5.3692402999999995;bird;1;0;0;0
82;120082;others;1;frog;0.0;11-02-2020 10:21:43;-7.6442966;8.170291;frog;0;0;0;1
83;120083;others;1;frog;3.782908243010752e-05;11-02-2020 10:21:43;4.8195543;-4.998799299999999;bird;0;0;1;0
84;120084;others;0;bird;3.782908243010752e-05;11-02-2020 10:21:43;4.8195543;-4.998799299999999;bird;1;0;0;0
85;120085;others;0;bird;3.782908243010752e-05;11-02-2020 10:21:43;4.8195543;-4.998799299999999;bird;1;0;0;0
86;120086;others;0;bird;0.0;11-02-2020 10:21:43;-10.259028;10.497812;frog;0;1;0;0
87;120087;others;1;frog;0.0;11-02-2020 10:21:43;-10.259028;10.497812;frog;0;0;0;1
88;120088;others;1;frog;0.0;11-02-2020 10:21:43;-10.259028;10.497812;frog;0;0;0;1
89;120089;others;0;bird;0.0027344226837158203;11-02-2020 10:21:43;3.1465688;-2.7538723999999997;bird;1;0;0;0
90;120090;others;0;bird;4.9591064453125e-05;11-02-2020 10:21:43;4.994144;-4.913316200000001;bird;1;0;0;0
91;120091;others;0;bird;0.00010585784912109376;11-02-2020 10:21:43;-17.331598;17.619406;frog;0;1;0;0
92;120092;others;1;frog;0.00010585784912109376;11-02-2020 10:21:43;-17.331598;17.619406;frog;0;0;0;1
93;120093;others;1;frog;2.384185791015625e-06;11-02-2020 10:21:43;-6.2557898000000005;6.751100999999999;frog;0;0;0;1
94;120094;others;1;frog;9.5367431640625e-07;11-02-2020 10:21:43;-6.685887299999999;6.9055634;frog;0;0;0;1
95;120095;others;1;frog;7.319450378417969e-05;11-02-2020 10:21:43;-11.633080999999999;11.854608;frog;0;0;0;1
96;120096;others;1;frog;7.319450378417969e-05;11-02-2020 10:21:43;-11.633080999999999;11.854608;frog;0;0;0;1
97;120097;others;1;frog;0.0;11-02-2020 10:21:43;-10.29171;10.310267999999999;frog;0;0;0;1
98;120098;others;1;frog;7.104873657226562e-05;11-02-2020 10:21:43;-12.964163000000001;13.077853;frog;0;0;0;1
99;120099;others;0;bird;7.104873657226562e-05;11-02-2020 10:21:43;-12.964163000000001;13.077853;frog;0;1;0;0
100;120100;others;1;frog;7.104873657226562e-05;11-02-2020 10:21:43;-12.964163000000001;13.077853;frog;0;0;0;1
101;120101;others;1;frog;0.0;11-02-2020 10:21:43;-9.485292;9.671305;frog;0;0;0;1
102;120102;others;1;frog;0.0;11-02-2020 10:21:43;-8.957794999999999;9.051647;frog;0;0;0;1
103;120103;others;0;bird;0.0;11-02-2020 10:21:43;9.045777000000001;-9.125313;bird;1;0;0;0
104;120104;others;0;bird;0.00028789043426513666;11-02-2020 10:21:43;-3.7766345;3.8862348;frog;0;1;0;0
105;120105;others;1;frog;0.00028789043426513666;11-02-2020 10:21:43;-3.7766345;3.8862348;frog;0;0;0;1
106;120106;others;0;bird;2.384185791015625e-07;11-02-2020 10:21:43;11.021897000000001;-10.981616;bird;1;0;0;0
107;120107;others;0;bird;2.384185791015625e-07;11-02-2020 10:21:43;11.021897000000001;-10.981616;bird;1;0;0;0
108;120108;others;0;bird;0.0;11-02-2020 10:21:43;12.931661;-13.024901;bird;1;0;0;0
109;120109;others;0;bird;0.0;11-02-2020 10:21:43;12.931661;-13.024901;bird;1;0;0;0
110;120110;others;0;bird;0.00037479400634765625;11-02-2020 10:21:43;4.112483999999999;-3.7765114;bird;1;0;0;0
111;120111;others;0;bird;0.0;11-02-2020 10:21:43;14.125541;-13.857087;bird;1;0;0;0
112;120112;others;0;bird;0.0;11-02-2020 10:21:43;14.125541;-13.857087;bird;1;0;0;0
113;120113;others;0;bird;0.00017452239990234375;11-02-2020 10:21:43;4.3512325;-4.3009477;bird;1;0;0;0
114;120114;others;1;frog;0.0;11-02-2020 10:21:43;-7.585528999999999;7.7680063;frog;0;0;0;1
115;120115;others;0;bird;0.0;11-02-2020 10:21:43;-8.566886;8.899001;frog;0;1;0;0
116;120116;others;1;frog;0.0;11-02-2020 10:21:43;-8.566886;8.899001;frog;0;0;0;1
117;120117;others;1;frog;0.0;11-02-2020 10:21:43;-8.566886;8.899001;frog;0;0;0;1
118;120118;others;1;frog;0.0;11-02-2020 10:21:43;-9.035288000000001;9.529328999999999;frog;0;0;0;1
119;120119;others;0;bird;0.0;11-02-2020 10:21:43;12.8280115;-12.5281315;bird;1;0;0;0
120;120120;others;0;bird;1.430511474609375e-06;11-02-2020 10:21:43;6.702407000000001;-6.6491933;bird;1;0;0;0
121;120121;others;0;bird;1.2874603271484375e-05;11-02-2020 10:21:43;9.254873;-9.1446295;bird;1;0;0;0
122;120122;others;0;bird;1.2874603271484375e-05;11-02-2020 10:21:43;9.254873;-9.1446295;bird;1;0;0;0
123;120123;others;1;frog;0.001267552375793457;11-02-2020 10:21:43;-3.5053657999999994;3.6420822;frog;0;0;0;1
124;120124;others;1;frog;0.001267552375793457;11-02-2020 10:21:43;-3.5053657999999994;3.6420822;frog;0;0;0;1
125;120125;others;1;frog;8.630752563476562e-05;11-02-2020 10:21:43;-4.5556035;4.800142299999999;frog;0;0;0;1
126;120126;others;1;frog;0.0;11-02-2020 10:21:43;14.418982999999999;-14.350594500000001;bird;0;0;1;0
127;120127;others;0;bird;0.0;11-02-2020 10:21:43;14.418982999999999;-14.350594500000001;bird;1;0;0;0
128;120128;others;1;frog;2.384185791015625e-07;11-02-2020 10:21:43;-7.397442999999999;7.457407000000001;frog;0;0;0;1
129;120129;others;1;frog;2.384185791015625e-07;11-02-2020 10:21:43;-7.397442999999999;7.457407000000001;frog;0;0;0;1
130;120130;others;0;bird;0.0;11-02-2020 10:21:43;8.744782;-8.694827;bird;1;0;0;0
131;120131;others;0;bird;0.0;11-02-2020 10:21:43;13.8410015;-13.724105999999999;bird;1;0;0;0
132;120132;others;0;bird;0.0;11-02-2020 10:21:43;16.898811;-16.820625;bird;1;0;0;0
133;120133;others;0;bird;6.914138793945312e-05;11-02-2020 10:21:43;4.7176027000000005;-4.8638067000000005;bird;1;0;0;0
134;120134;others;0;bird;0.0;11-02-2020 10:21:43;-12.10201;12.060019500000001;frog;0;1;0;0
135;120135;others;1;frog;0.0;11-02-2020 10:21:43;-12.10201;12.060019500000001;frog;0;0;0;1
136;120136;others;1;frog;1.883506774902344e-05;11-02-2020 10:21:43;5.2739916;-4.907771;bird;0;0;1;0
137;120137;others;0;bird;1.883506774902344e-05;11-02-2020 10:21:43;5.2739916;-4.907771;bird;1;0;0;0
138;120138;others;1;frog;0.0;11-02-2020 10:21:43;-12.566183;12.718461999999999;frog;0;0;0;1
139;120139;others;1;frog;0.001329660415649414;11-02-2020 10:21:43;-3.2997977999999994;3.3224123;frog;0;0;0;1
140;120140;others;1;frog;0.00012731552124023438;11-02-2020 10:21:43;-4.2602124;4.708856;frog;0;0;0;1
141;120141;others;0;bird;0.0;11-02-2020 10:21:43;8.584375;-8.529083;bird;1;0;0;0
142;120142;others;1;frog;5.8650970458984375e-05;11-02-2020 10:21:43;-4.8346485999999995;4.9083285000000005;frog;0;0;0;1
143;120143;others;0;bird;0.0;11-02-2020 10:21:43;8.307909;-8.020396;bird;1;0;0;0
144;120144;others;0;bird;9.5367431640625e-07;11-02-2020 10:21:43;6.9434032000000006;-6.865263000000001;bird;1;0;0;0
145;120145;others;1;frog;0.0;11-02-2020 10:21:43;-11.186688;11.249448;frog;0;0;0;1
146;120146;others;1;frog;0.0016770362854003904;11-02-2020 10:21:43;-3.1044016;3.2855367999999996;frog;0;0;0;1
147;120147;others;1;frog;0.0;11-02-2020 10:21:43;-11.864324;12.041441;frog;0;0;0;1
148;120148;others;1;frog;0.0;11-02-2020 10:21:43;-8.461768;8.627228;frog;0;0;0;1
149;120149;others;0;bird;8.058547973632812e-05;11-02-2020 10:21:43;4.7606720000000005;-4.667117;bird;1;0;0;0
150;120150;others;0;bird;4.100799560546875e-05;11-02-2020 10:21:43;5.1314116;-4.964907599999999;bird;1;0;0;0
151;120151;others;1;frog;9.5367431640625e-07;11-02-2020 10:21:43;-6.7186127;6.948208999999999;frog;0;0;0;1
152;120152;others;0;bird;4.76837158203125e-07;11-02-2020 10:21:43;7.4406753;-7.0506425;bird;1;0;0;0
153;120153;others;0;bird;0.0;11-02-2020 10:21:43;10.924327;-10.615867999999999;bird;1;0;0;0
154;120154;others;1;frog;0.0007596015930175781;11-02-2020 10:21:43;-3.200653;3.288161;frog;0;0;0;1
155;120155;others;1;frog;0.0007596015930175781;11-02-2020 10:21:43;-3.200653;3.288161;frog;0;0;0;1
156;120156;others;1;frog;0.0;11-02-2020 10:21:43;-14.468546;14.900047;frog;0;0;0;1
157;120157;others;1;frog;0.0;11-02-2020 10:21:43;-12.222817;12.489474000000001;frog;0;0;0;1
158;120158;others;0;bird;0.003011941909790039;11-02-2020 10:21:43;3.0565224;-2.747091;bird;1;0;0;0
159;120159;others;1;frog;0.00013852119445800779;11-02-2020 10:21:43;-4.1360984;4.4062567;frog;0;0;0;1
160;120160;others;1;frog;0.00013852119445800779;11-02-2020 10:21:43;-4.1360984;4.4062567;frog;0;0;0;1
161;120161;others;0;bird;5.0067901611328125e-06;11-02-2020 10:21:43;5.514954599999999;-5.2952356;bird;1;0;0;0
162;120162;others;1;frog;5.0067901611328125e-06;11-02-2020 10:21:43;5.514954599999999;-5.2952356;bird;0;0;1;0
163;120163;others;0;bird;5.0067901611328125e-06;11-02-2020 10:21:43;5.514954599999999;-5.2952356;bird;1;0;0;0
164;120164;others;0;bird;5.0067901611328125e-06;11-02-2020 10:21:43;5.514954599999999;-5.2952356;bird;1;0;0;0
165;120165;others;0;bird;0.00016832351684570312;11-02-2020 10:21:43;4.237655;-4.261093;bird;1;0;0;0
166;120166;others;0;bird;0.00016832351684570312;11-02-2020 10:21:43;4.237655;-4.261093;bird;1;0;0;0
167;120167;others;1;frog;0.0;11-02-2020 10:21:43;-19.322506;19.70075;frog;0;0;0;1
168;120168;others;1;frog;0.0;11-02-2020 10:21:43;-10.248260499999999;10.309898;frog;0;0;0;1
169;120169;others;0;bird;3.337860107421875e-06;11-02-2020 10:21:43;6.501513;-6.081988;bird;1;0;0;0
170;120170;others;0;bird;0.0;11-02-2020 10:21:43;10.164603;-9.666283;bird;1;0;0;0
171;120171;others;1;frog;9.5367431640625e-07;11-02-2020 10:21:43;-6.767842;6.844067599999999;frog;0;0;0;1
172;120172;others;0;bird;0.0;11-02-2020 10:21:43;9.221205;-9.247302000000001;bird;1;0;0;0
173;120173;others;0;bird;8.130073547363281e-05;11-02-2020 10:21:43;-8.965373;9.404778;frog;0;1;0;0
174;120174;others;1;frog;8.130073547363281e-05;11-02-2020 10:21:43;-8.965373;9.404778;frog;0;0;0;1
175;120175;others;1;frog;0.0;11-02-2020 10:21:43;-11.78857;11.8073435;frog;0;0;0;1
176;120176;others;1;frog;4.76837158203125e-07;11-02-2020 10:21:43;-7.190798299999999;7.141421;frog;0;0;0;1
177;120177;others;0;bird;0.0008077621459960938;11-02-2020 10:21:43;3.7165157999999994;-3.4044013;bird;1;0;0;0
178;120178;others;0;bird;0.0;11-02-2020 10:21:43;9.376072;-9.269582000000002;bird;1;0;0;0
179;120179;others;0;bird;0.0009238719940185547;11-02-2020 10:21:43;-20.370438;20.871754;frog;0;1;0;0
180;120180;others;0;bird;0.0009238719940185547;11-02-2020 10:21:43;-20.370438;20.871754;frog;0;1;0;0
181;120181;others;1;frog;0.0009238719940185547;11-02-2020 10:21:43;-20.370438;20.871754;frog;0;0;0;1
182;120182;others;0;bird;0.00011444091796875;11-02-2020 10:21:43;4.5364285;-4.538785;bird;1;0;0;0
183;120183;others;0;bird;2.1457672119140625e-05;11-02-2020 10:21:43;5.533123000000001;-5.215153;bird;1;0;0;0
184;120184;others;1;frog;0.00013256072998046875;11-02-2020 10:21:43;-4.5281353;4.399069;frog;0;0;0;1
185;120185;others;1;frog;0.0;11-02-2020 10:21:43;-13.671848;13.775897;frog;0;0;0;1
186;120186;others;1;frog;0.0;11-02-2020 10:21:43;-10.017617999999999;10.029738;frog;0;0;0;1
187;120187;others;0;bird;0.0;11-02-2020 10:21:43;9.773363;-9.687584;bird;1;0;0;0
188;120188;others;1;frog;0.0;11-02-2020 10:21:43;-9.288387;9.613093;frog;0;0;0;1
189;120189;others;1;frog;1.621246337890625e-05;11-02-2020 10:21:43;-5.3079624;5.716264700000001;frog;0;0;0;1
190;120190;others;0;bird;4.76837158203125e-07;11-02-2020 10:21:43;7.7444024;-7.111265700000001;bird;1;0;0;0
191;120191;others;0;bird;0.0;11-02-2020 10:21:43;9.307306;-9.510104;bird;1;0;0;0
192;120192;others;0;bird;0.0;11-02-2020 10:21:43;9.46243;-9.293174;bird;1;0;0;0
193;120193;others;0;bird;0.000263214111328125;11-02-2020 10:21:43;4.165473;-4.0769150000000005;bird;1;0;0;0
194;120194;others;0;bird;0.0;11-02-2020 10:21:43;13.460284;-13.438548999999998;bird;1;0;0;0
195;120195;others;1;frog;9.441375732421876e-05;11-02-2020 10:21:43;-4.639032;4.6297894;frog;0;0;0;1
196;120196;others;0;bird;0.0;11-02-2020 10:21:43;12.2072525;-11.920174000000001;bird;1;0;0;0
197;120197;others;0;bird;2.384185791015625e-07;11-02-2020 10:21:43;-7.4381949999999994;8.001627000000001;frog;0;1;0;0
198;120198;others;1;frog;2.384185791015625e-07;11-02-2020 10:21:43;-7.4381949999999994;8.001627000000001;frog;0;0;0;1
199;120199;others;0;bird;0.006830215454101562;11-02-2020 10:21:43;2.4607394;-2.522226;bird;1;0;0;0
200;120200;others;0;bird;0.0004374384880065918;11-02-2020 10:21:43;-3.2609369999999998;3.6629807999999997;frog;0;1;0;0
201;120201;others;1;frog;0.0004374384880065918;11-02-2020 10:21:43;-3.2609369999999998;3.6629807999999997;frog;0;0;0;1
202;120202;others;1;frog;0.0004374384880065918;11-02-2020 10:21:43;-3.2609369999999998;3.6629807999999997;frog;0;0;0;1
203;120203;others;1;frog;0.0004374384880065918;11-02-2020 10:21:43;-3.2609369999999998;3.6629807999999997;frog;0;0;0;1
204;120204;others;1;frog;0.0008873144979588687;11-02-2020 10:21:43;4.98879;-4.922346599999999;bird;0;0;1;0
205;120205;others;1;frog;0.0008873144979588687;11-02-2020 10:21:43;4.98879;-4.922346599999999;bird;0;0;1;0
206;120206;others;0;bird;0.0008873144979588687;11-02-2020 10:21:43;4.98879;-4.922346599999999;bird;1;0;0;0
207;120207;others;0;bird;0.0;11-02-2020 10:21:43;11.668375;-11.506446;bird;1;0;0;0
208;120208;others;0;bird;0.0;11-02-2020 10:21:43;8.859063;-8.819713;bird;1;0;0;0
209;120209;others;0;bird;0.0;11-02-2020 10:21:43;8.859063;-8.819713;bird;1;0;0;0
210;120210;others;0;bird;0.0;11-02-2020 10:21:43;8.984757;-8.972136;bird;1;0;0;0
211;120211;others;0;bird;0.0013549327850341795;11-02-2020 10:21:43;3.4206269;-3.1827526;bird;1;0;0;0
212;120212;others;0;bird;4.76837158203125e-07;11-02-2020 10:21:43;7.3217;-7.350634599999999;bird;1;0;0;0
213;120213;others;1;frog;0.0002660751342773437;11-02-2020 10:21:43;-4.047905999999999;4.184152;frog;0;0;0;1
214;120214;others;1;frog;0.0;11-02-2020 10:21:43;-12.751892999999999;13.100185;frog;0;0;0;1
215;120215;others;0;bird;0.0;11-02-2020 10:21:43;-21.051966;21.722520000000003;frog;0;1;0;0
216;120216;others;1;frog;0.0;11-02-2020 10:21:43;-21.051966;21.722520000000003;frog;0;0;0;1
217;120217;others;0;bird;0.0019731521606445312;11-02-2020 10:21:43;15.05785;-14.779228;bird;1;0;0;0
218;120218;others;0;bird;0.0019731521606445312;11-02-2020 10:21:43;15.05785;-14.779228;bird;1;0;0;0
219;120219;others;0;bird;2.765655517578125e-05;11-02-2020 10:21:44;5.302368;-5.186971700000001;bird;1;0;0;0
220;120220;others;1;frog;3.5762786865234375e-06;11-02-2020 10:21:44;15.129220000000002;-14.904138;bird;0;0;1;0
221;120221;others;0;bird;3.5762786865234375e-06;11-02-2020 10:21:44;15.129220000000002;-14.904138;bird;1;0;0;0
222;120222;others;1;frog;0.00012969970703125;11-02-2020 10:21:44;-4.5170965;4.4318743;frog;0;0;0;1
223;120223;others;0;bird;2.384185791015625e-06;11-02-2020 10:21:44;6.4190264;-6.487408;bird;1;0;0;0
224;120224;others;0;bird;0.0;11-02-2020 10:21:44;12.203965;-12.048207000000001;bird;1;0;0;0
225;120225;others;1;frog;0.0;11-02-2020 10:21:44;8.725358;-8.702358;bird;0;0;1;0
226;120226;others;0;bird;0.0;11-02-2020 10:21:44;8.725358;-8.702358;bird;1;0;0;0
227;120227;others;0;bird;2.384185791015625e-06;11-02-2020 10:21:44;6.523759;-6.4024160000000006;bird;1;0;0;0
228;120228;others;1;frog;0.0;11-02-2020 10:21:44;-12.103465;12.600242999999999;frog;0;0;0;1
229;120229;others;1;frog;0.0;11-02-2020 10:21:44;-9.773186;9.912724;frog;0;0;0;1
230;120230;others;1;frog;0.0;11-02-2020 10:21:44;-9.773186;9.912724;frog;0;0;0;1
231;120231;others;0;bird;4.76837158203125e-07;11-02-2020 10:21:44;7.3905616;-7.3553047000000005;bird;1;0;0;0
232;120232;others;0;bird;0.0;11-02-2020 10:21:44;9.183113;-9.195172;bird;1;0;0;0
233;120233;others;0;bird;0.0;11-02-2020 10:21:44;13.521955499999999;-13.037971;bird;1;0;0;0
234;120234;others;0;bird;0.0;11-02-2020 10:21:44;13.521955499999999;-13.037971;bird;1;0;0;0
235;120235;others;0;bird;0.00037082037306390703;11-02-2020 10:21:44;6.967474;-6.751807;bird;1;0;0;0
236;120236;others;0;bird;0.00037082037306390703;11-02-2020 10:21:44;6.967474;-6.751807;bird;1;0;0;0
237;120237;others;0;bird;0.00037082037306390703;11-02-2020 10:21:44;6.967474;-6.751807;bird;1;0;0;0
